"","prev_candidate","candidate","source","target","vote","linkGroup0","linkGroup1"
"1","6 Eric L. Adams","7 Eric L. Adams",0,5,316234,"Eric L. Adams","Eric L. Adams"
"2","6 Kathryn A. Garcia","7 Kathryn A. Garcia",1,6,222389,"Kathryn A. Garcia","Kathryn A. Garcia"
"3","6 Maya D. Wiley","7 Maya D. Wiley",2,7,237621,"Maya D. Wiley","Maya D. Wiley"
"4","6 Andrew Yang","7 Eric L. Adams",3,5,37430,"Andrew Yang","Eric L. Adams"
"5","6 Andrew Yang","7 Kathryn A. Garcia",3,6,43072,"Andrew Yang","Kathryn A. Garcia"
"6","6 Andrew Yang","7 Maya D. Wiley",3,7,15473,"Andrew Yang","Maya D. Wiley"
"7","6 Andrew Yang","7 Inactive ballots",3,8,39121,"Andrew Yang","Inactive ballots"
"8","6 Inactive ballots","7 Inactive ballots",4,8,26359,"Inactive ballots","Inactive ballots"
"9","7 Eric L. Adams","8 Eric L. Adams",5,9,353664,"Eric L. Adams","Eric L. Adams"
"10","7 Kathryn A. Garcia","8 Kathryn A. Garcia",6,10,265461,"Kathryn A. Garcia","Kathryn A. Garcia"
"11","7 Maya D. Wiley","8 Eric L. Adams",7,9,49669,"Maya D. Wiley","Eric L. Adams"
"12","7 Maya D. Wiley","8 Kathryn A. Garcia",7,10,129446,"Maya D. Wiley","Kathryn A. Garcia"
"13","7 Maya D. Wiley","8 Inactive ballots",7,11,73979,"Maya D. Wiley","Inactive ballots"
"14","7 Inactive ballots","8 Inactive ballots",8,11,65480,"Inactive ballots","Inactive ballots"
